Data,Kurs
2022-01-03,5.4643
2022-01-04,5.4677
2022-01-05,5.4658
2022-01-07,5.4595
2022-01-10,5.4406
2022-01-11,5.458
2022-01-12,5.4345
2022-01-13,5.4209
2022-01-14,5.4387
2022-01-17,5.4123
2022-01-18,5.4144
2022-01-19,5.4357
2022-01-20,5.4279
2022-01-21,5.421
2022-01-24,5.4169
2022-01-25,5.4731
2022-01-26,5.4958
2022-01-27,5.4818
2022-01-28,5.4934
2022-01-31,5.532
2022-02-01,5.492
2022-02-02,5.4556
2022-02-03,5.4598
2022-02-04,5.381
2022-02-07,5.3893
2022-02-08,5.3792
2022-02-09,5.3633
2022-02-10,5.3225
2022-02-11,5.3772
2022-02-14,5.4645
2022-02-15,5.3856
2022-02-16,5.3542
2022-02-17,5.3988
2022-02-18,5.4222
2022-02-21,5.4227
2022-02-22,5.4482
2022-02-23,5.4333
2022-02-24,5.546
2022-02-25,5.5751
2022-02-28,5.6131
2022-03-01,5.6593
2022-03-02,5.7631
2022-03-03,5.7881
2022-03-04,5.8413
2022-03-07,6.0211
2022-03-08,5.9196
2022-03-09,5.8051
2022-03-10,5.7264
2022-03-11,5.7127
2022-03-14,5.6375
2022-03-15,5.6056
2022-03-16,5.5931
2022-03-17,5.5865
2022-03-18,5.6109
2022-03-21,5.5819
2022-03-22,5.6322
2022-03-23,5.6574
2022-03-24,5.7061
2022-03-25,5.6769
2022-03-28,5.6311
2022-03-29,5.605
2022-03-30,5.4775
2022-03-31,5.4842
2022-04-01,5.5114
2022-04-04,5.518
2022-04-05,5.541
2022-04-06,5.5802
2022-04-07,5.586
2022-04-08,5.5702
2022-04-11,5.5484
2022-04-12,5.5819
2022-04-13,5.5761
2022-04-14,5.5923
2022-04-15,5.6019
2022-04-19,5.5924
2022-04-20,5.565
2022-04-21,5.5636
2022-04-22,5.5327
2022-04-25,5.5054
2022-04-26,5.5299
2022-04-27,5.5744
2022-04-28,5.5924
2022-04-29,5.532
2022-05-02,5.5894
2022-05-04,5.5631
2022-05-05,5.5223
2022-05-06,5.4914
2022-05-09,5.4956
2022-05-10,5.4564
2022-05-11,5.4677
2022-05-12,5.4644
2022-05-13,5.4736
2022-05-16,5.4799
2022-05-17,5.5377
